August  5,Basketball,False,"[('women', '- ')]",Ticket Limit: 20,Olympic Park - Basketball Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', None, u'\xa320.00', None]",09:00,13:00
August  5,Basketball,False,"[('women', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', u'\xa320.00']",14:30,18:30
August  5,Basketball,False,"[('women', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa375.00', u'\xa350.00', u'\xa335.00', u'\xa320.00']",20:00,00:00
August  6,Basketball,False,"[('men', '- ')]",Ticket Limit: 20,Olympic Park - Basketball Arena,"[u'\xa395.00', u'\xa365.00', u'\xa340.00', None, u'\xa320.00', None]",09:00,13:00
August  6,Basketball,False,"[('men', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa395.00', u'\xa365.00', u'\xa340.00', u'\xa320.00']",14:30,18:30
August  6,Basketball,False,"[('men', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa3115.00', u'\xa375.00', u'\xa345.00', u'\xa330.00']",20:00,00:00
August  7,Basketball,False,"[('women', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa395.00', u'\xa365.00', u'\xa340.00', u'\xa320.00']",14:00,18:00
August  7,Basketball,False,"[('women', '- ')]",Ticket Limit: 6,Olympic Park - Basketball Arena,"[u'\xa395.00', u'\xa365.00', u'\xa345.00', u'\xa320.00']",20:00,00:00
August  8,Basketball,False,"[('men', '- ')]",Ticket Limit: 6,North Greenwich Arena,"[u'\xa3125.00', u'\xa385.00', u'\xa355.00', u'\xa345.00', u'\xa335.00']",14:00,18:00
August  9,Basketball,False,"[('men', '- ')]",Ticket Limit: 6,North Greenwich Arena,"[u'\xa3125.00', u'\xa385.00', u'\xa355.00', u'\xa345.00', u'\xa335.00']",17:00,19:00
August  9,Basketball,False,"[('women', '- ')]",Ticket Limit: 6,North Greenwich Arena,"[u'\xa3125.00', u'\xa385.00', u'\xa355.00', u'\xa345.00', u'\xa335.00']",17:00,19:00
August  9,Basketball,False,"[('women', '- ')]",Ticket Limit: 6,North Greenwich Arena,"[u'\xa3125.00', u'\xa385.00', u'\xa355.00', u'\xa345.00', u'\xa335.00']",21:00,23:00
August 10,Basketball,False,"[('men', '- ')]",Ticket Limit: 6,North Greenwich Arena,"[u'\xa3150.00', u'\xa3110.00', u'\xa395.00', u'\xa365.00', u'\xa345.00']",17:00,19:00
August 10,Basketball,False,"[('men', '- ')]",Ticket Limit: 6,North Greenwich Arena,"[u'\xa3150.00', u'\xa3110.00', u'\xa395.00', u'\xa365.00', u'\xa345.00']",21:00,23:00
August 11,Basketball,True,"[('women', '- ')]",Ticket Limit: 6,North Greenwich Arena,"[u'\xa3150.00', u'\xa3110.00', u'\xa395.00', u'\xa365.00', u'\xa345.00']",17:00,19:00
August 11,Basketball,True,"[('women', '- ')]",Ticket Limit: 6,North Greenwich Arena,"[u'\xa3325.00', u'\xa3225.00', u'\xa3150.00', u'\xa395.00', u'\xa350.00']",21:00,23:30
August 12,Basketball,True,"[('men', '- ')]",Ticket Limit: 6,North Greenwich Arena,"[u'\xa3325.00', u'\xa3225.00', u'\xa3150.00', u'\xa395.00', u'\xa350.00']",11:00,13:00
August 12,Basketball,True,"[('men', '- ')]",Ticket Limit: 4,North Greenwich Arena,"[u'\xa3425.00', u'\xa3295.00', u'\xa3185.00', u'\xa3125.00', u'\xa395.00']",15:00,17:30
July 28,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 20,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', None, u'\xa320.00', None]",09:00,12:50
July 28,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 6,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', u'\xa320.00']",14:30,18:20
July 28,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 6,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', u'\xa320.00']",20:00,23:50
July 29,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 20,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', None, u'\xa320.00', None]",09:00,12:50
July 29,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 6,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', u'\xa320.00']",14:30,18:20
July 29,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 6,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', u'\xa320.00']",20:00,23:50
July 30,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 20,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', None, u'\xa320.00', None]",09:00,12:50
July 30,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 6,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', u'\xa320.00']",14:30,18:20
July 30,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 6,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', u'\xa320.00']",20:00,23:50
July 31,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 20,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', None, u'\xa320.00', None]",09:00,12:50
July 31,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 6,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', u'\xa320.00']",14:30,18:20
July 31,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 6,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', u'\xa320.00']",20:00,23:50
August  1,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 20,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', None, u'\xa320.00', None]",09:00,12:50
August  1,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 6,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', u'\xa320.00']",14:30,18:20
August  1,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 6,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', u'\xa320.00']",20:00,23:50
August  2,Beach Volleyball,False,"[('men-and-women', '- ')]",Ticket Limit: 20,Horse Guards Parade,"[u'\xa395.00', u'\xa365.00', u'\xa350.00', u'\xa340.00', None, u'\xa320.00', None]",09:00,12:50
